Indicador,Nível_Territorial,Abertura_Territorial,Variável_de_abertura,Categoria,Variável_de_abertura_2,Categoria_2,2016,2017,2018
Taxa de analfabetismo (%),Unidade da Federação,Piauí,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,29.6,29.5,28.4
Taxa de analfabetismo (%),Unidade da Federação,Piauí,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,44.3,44.6,42.7
Taxa de analfabetismo (%),Unidade da Federação,Ceará,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,15.2,14.2,13.3
Taxa de analfabetismo (%),Unidade da Federação,Ceará,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,16.1,15.1,14.2
Taxa de analfabetismo (%),Unidade da Federação,Ceará,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,19.1,17.8,16.6
Taxa de analfabetismo (%),Unidade da Federação,Ceará,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,26.7,25.7,24.1
Taxa de analfabetismo (%),Unidade da Federação,Ceará,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,38.1,37,36.9
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Norte,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,14.7,13.5,12.9
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Norte,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,15.6,14.4,13.7
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Norte,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,18.1,16.8,16.1
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Norte,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,25.3,23.7,22.5
Taxa de analfabetismo (%),Unidade da Federação,Rio Grande do Norte,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,38.7,36.1,34.8
Taxa de analfabetismo (%),Unidade da Federação,Paraíba,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,16.3,16.6,16.1
Taxa de analfabetismo (%),Unidade da Federação,Paraíba,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,17.5,17.8,17.2
Taxa de analfabetismo (%),Unidade da Federação,Paraíba,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,20.4,20.6,19.9
Taxa de analfabetismo (%),Unidade da Federação,Paraíba,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,27.9,28.5,26.6
Taxa de analfabetismo (%),Unidade da Federação,Paraíba,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,42.2,39.5,37.8
Taxa de analfabetismo (%),Unidade da Federação,Pernambuco,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,12.8,13.4,11.9
Taxa de analfabetismo (%),Unidade da Federação,Pernambuco,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,13.6,14.4,12.6
Taxa de analfabetismo (%),Unidade da Federação,Pernambuco,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,15.8,16.6,14.6
Taxa de analfabetismo (%),Unidade da Federação,Pernambuco,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,21.9,22.9,20.1
Taxa de analfabetismo (%),Unidade da Federação,Pernambuco,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,34.5,35.2,30.2
